author,title,funding,citations,date,link
"Nel, EM",Estimating the pen trajectories of static signatures using hidden Markov models,,26,2005,http://dx.doi.org/10.1109/TPAMI.2005.221
"du Preez, JA",Estimating the pen trajectories of static signatures using hidden Markov models,,26,2005,http://dx.doi.org/10.1109/TPAMI.2005.221
"Herbst, BM",Estimating the pen trajectories of static signatures using hidden Markov models,,26,2005,http://dx.doi.org/10.1109/TPAMI.2005.221
"van den Bergh, F",A cooperative approach to particle swarm optimization,,1421,2004,http://dx.doi.org/10.1109/tevc.2004.826069
"Engelbrecht, AP",A cooperative approach to particle swarm optimization,,1421,2004,http://dx.doi.org/10.1109/tevc.2004.826069
"Shabat, AMM",Angled local directional pattern for texture analysis with an application to facial expression recognition,,15,2018,http://dx.doi.org/10.1049/iet-cvi.2017.0340
"Tapamo, JR",Angled local directional pattern for texture analysis with an application to facial expression recognition,,15,2018,http://dx.doi.org/10.1049/iet-cvi.2017.0340
"Perkins, S",Field D* path-finding on weighted triangulated and tetrahedral meshes,,5,2013,http://dx.doi.org/10.1007/s10458-012-9195-8
"Marais, P",Field D* path-finding on weighted triangulated and tetrahedral meshes,,5,2013,http://dx.doi.org/10.1007/s10458-012-9195-8
"Gain, J",Field D* path-finding on weighted triangulated and tetrahedral meshes,,5,2013,http://dx.doi.org/10.1007/s10458-012-9195-8
"Berman, M",Field D* path-finding on weighted triangulated and tetrahedral meshes,,5,2013,http://dx.doi.org/10.1007/s10458-012-9195-8
"van Wyk, BJ",Kronecker product graph matching,,23,2003,http://dx.doi.org/10.1016/S0031-3203(03)00009-8
"van Wyk, MA",Kronecker product graph matching,,23,2003,http://dx.doi.org/10.1016/S0031-3203(03)00009-8
"GREY, DC",NEURAL NETWORKS,,0,1988,
"Vallabh, P",Fall detection monitoring systems: a comprehensive review,,40,2018,http://dx.doi.org/10.1007/s12652-017-0592-3
"Malekian, R",Fall detection monitoring systems: a comprehensive review,,40,2018,http://dx.doi.org/10.1007/s12652-017-0592-3
"Feukeu, EA",Performance evaluation of the ADSA in a vehicular network: MAC approach in IEEE 802.11p,Tshwane University of Technology/French South African Institute of Technology; National Research Foundation (NRF) via Research and Innovation Support and Advancement (RISA),6,2015,http://dx.doi.org/10.1007/s12652-015-0268-9
"Djouani, K",Performance evaluation of the ADSA in a vehicular network: MAC approach in IEEE 802.11p,Tshwane University of Technology/French South African Institute of Technology; National Research Foundation (NRF) via Research and Innovation Support and Advancement (RISA),6,2015,http://dx.doi.org/10.1007/s12652-015-0268-9
"Kurien, A",Performance evaluation of the ADSA in a vehicular network: MAC approach in IEEE 802.11p,Tshwane University of Technology/French South African Institute of Technology; National Research Foundation (NRF) via Research and Innovation Support and Advancement (RISA),6,2015,http://dx.doi.org/10.1007/s12652-015-0268-9
"Oyewole, SA",Product image classification using Eigen Colour feature with ensemble machine learning,,8,2018,http://dx.doi.org/10.1016/j.eij.2017.10.002
"Olugbara, OO",Product image classification using Eigen Colour feature with ensemble machine learning,,8,2018,http://dx.doi.org/10.1016/j.eij.2017.10.002
"Steenkamp, C",A scalability study of the multi-guide particle swarm optimization algorithm to many-objectives,,3,2021,http://dx.doi.org/10.1016/j.swevo.2021.100943
"Engelbrecht, AP",A scalability study of the multi-guide particle swarm optimization algorithm to many-objectives,,3,2021,http://dx.doi.org/10.1016/j.swevo.2021.100943
"Rakotonirainy, RG",Improved metaheuristics for the two-dimensional strip packing problem,Deutscher Akademischer Austauschdienst German Academic Exchange Service (DAAD)(Deutscher Akademischer Austausch Dienst (DAAD)),14,2020,http://dx.doi.org/10.1016/j.asoc.2020.106268
"van Vuuren, JH",Improved metaheuristics for the two-dimensional strip packing problem,Deutscher Akademischer Austauschdienst German Academic Exchange Service (DAAD)(Deutscher Akademischer Austausch Dienst (DAAD)),14,2020,http://dx.doi.org/10.1016/j.asoc.2020.106268
"Kamper, F",On the Convergence of Gaussian Belief Propagation with Nodes of Arbitrary Size,National Research Foundation (NRF),2,2019,
"Steel, SJ",On the Convergence of Gaussian Belief Propagation with Nodes of Arbitrary Size,National Research Foundation (NRF),2,2019,
"du Preez, JA",On the Convergence of Gaussian Belief Propagation with Nodes of Arbitrary Size,National Research Foundation (NRF),2,2019,
"Tilahun, SL",Prey-predator algorithm for discrete problems: a case for examination timetabling problem,,4,2019,http://dx.doi.org/10.3906/elk-1809-175
"Shani, I",Teleonomic functions and intrinsic intentionality: Dretske's theory as a test case,,3,2007,http://dx.doi.org/10.1016/j.cogsys.2006.06.001
"van Wyk, BJ",A POCS-based graph matching algorithm,,40,2004,http://dx.doi.org/10.1109/TPAMI.2004.95
"van Wyk, MA",A POCS-based graph matching algorithm,,40,2004,http://dx.doi.org/10.1109/TPAMI.2004.95
"Hofmeyr, DP",Connecting Spectral Clustering to Maximum Margins and Level Sets,,0,2020,
"Aye, SA",ACOUSTIC EMISSION-BASED PROGNOSTICS OF SLOW ROTATING BEARING USING BAYESIAN TECHNIQUES UNDER DEPENDENT AND INDEPENDENT SAMPLES,,2,2015,http://dx.doi.org/10.1080/08839514.2015.1038432
"Heyns, PS",ACOUSTIC EMISSION-BASED PROGNOSTICS OF SLOW ROTATING BEARING USING BAYESIAN TECHNIQUES UNDER DEPENDENT AND INDEPENDENT SAMPLES,,2,2015,http://dx.doi.org/10.1080/08839514.2015.1038432
"Duma, M",PREDICTIVE MODELING WITH MISSING DATA USING AN AUTOMATIC RELEVANCE DETERMINATION ENSEMBLE: A COMPARATIVE STUDY,,0,2012,http://dx.doi.org/10.1080/08839514.2012.741377
"Twala, B",PREDICTIVE MODELING WITH MISSING DATA USING AN AUTOMATIC RELEVANCE DETERMINATION ENSEMBLE: A COMPARATIVE STUDY,,0,2012,http://dx.doi.org/10.1080/08839514.2012.741377
"Nelwamondo, F",PREDICTIVE MODELING WITH MISSING DATA USING AN AUTOMATIC RELEVANCE DETERMINATION ENSEMBLE: A COMPARATIVE STUDY,,0,2012,http://dx.doi.org/10.1080/08839514.2012.741377
"Marwala, T",PREDICTIVE MODELING WITH MISSING DATA USING AN AUTOMATIC RELEVANCE DETERMINATION ENSEMBLE: A COMPARATIVE STUDY,,0,2012,http://dx.doi.org/10.1080/08839514.2012.741377
"Engelbrecht, HA",Efficient backward decoding of high-order hidden Markov models,,14,2010,http://dx.doi.org/10.1016/j.patcog.2009.06.004
"du Preez, JA",Efficient backward decoding of high-order hidden Markov models,,14,2010,http://dx.doi.org/10.1016/j.patcog.2009.06.004
"ORLOWSKI, M",ON THE CONDITIONS FOR SUCCESS OF SKLANSKY CONVEX-HULL ALGORITHM,,5,1983,http://dx.doi.org/10.1016/0031-3203(83)90074-2
"Brink, AD",Minimum cross-entropy threshold selection,,170,1996,http://dx.doi.org/10.1016/0031-3203(95)00066-6
"Pendock, NE",Minimum cross-entropy threshold selection,,170,1996,http://dx.doi.org/10.1016/0031-3203(95)00066-6
"COETZEE, L",FINGERPRINT RECOGNITION IN LOW-QUALITY IMAGES,,84,1993,http://dx.doi.org/10.1016/0031-3203(93)90151-L
"BOTHA, EC",FINGERPRINT RECOGNITION IN LOW-QUALITY IMAGES,,84,1993,http://dx.doi.org/10.1016/0031-3203(93)90151-L
"Mongwe, WT",Locally Scaled and Stochastic Volatility Metropolis-Hastings Algorithms,Google Ph.D. Fellowships in Machine Learning(Google Incorporated); National Research Foundation of South Africa(National Research Foundation - South Africa),2,2021,http://dx.doi.org/10.3390/a14120351
"Mbuvha, R",Locally Scaled and Stochastic Volatility Metropolis-Hastings Algorithms,Google Ph.D. Fellowships in Machine Learning(Google Incorporated); National Research Foundation of South Africa(National Research Foundation - South Africa),2,2021,http://dx.doi.org/10.3390/a14120351
"Marwala, T",Locally Scaled and Stochastic Volatility Metropolis-Hastings Algorithms,Google Ph.D. Fellowships in Machine Learning(Google Incorporated); National Research Foundation of South Africa(National Research Foundation - South Africa),2,2021,http://dx.doi.org/10.3390/a14120351
"Pedro, JO",Dynamic neural network-based feedback linearization control of full-car suspensions using PSO,,15,2018,http://dx.doi.org/10.1016/j.asoc.2018.06.002
"Dangor, M",Dynamic neural network-based feedback linearization control of full-car suspensions using PSO,,15,2018,http://dx.doi.org/10.1016/j.asoc.2018.06.002
"Dahunsi, OA",Dynamic neural network-based feedback linearization control of full-car suspensions using PSO,,15,2018,http://dx.doi.org/10.1016/j.asoc.2018.06.002
"Ali, MM",Dynamic neural network-based feedback linearization control of full-car suspensions using PSO,,15,2018,http://dx.doi.org/10.1016/j.asoc.2018.06.002
"Dabrowski, JJ","Naive Bayes switching linear dynamical system: A model for dynamic system modelling, classification, and information fusion","Barclays Africa Chair in Actuarial Science in the Department of Insurance and Actuarial Science, University of Pretoria; US Office of Naval Research (ONR), Global(Office of Naval Research)",7,2018,http://dx.doi.org/10.1016/j.inffus.2017.10.002
"de Villiers, JP","Naive Bayes switching linear dynamical system: A model for dynamic system modelling, classification, and information fusion","Barclays Africa Chair in Actuarial Science in the Department of Insurance and Actuarial Science, University of Pretoria; US Office of Naval Research (ONR), Global(Office of Naval Research)",7,2018,http://dx.doi.org/10.1016/j.inffus.2017.10.002
"Beyers, C","Naive Bayes switching linear dynamical system: A model for dynamic system modelling, classification, and information fusion","Barclays Africa Chair in Actuarial Science in the Department of Insurance and Actuarial Science, University of Pretoria; US Office of Naval Research (ONR), Global(Office of Naval Research)",7,2018,http://dx.doi.org/10.1016/j.inffus.2017.10.002
"Strydom, Z","Factors that influence Cape fur seal predation on Cape gannets at Lambert's Bay, South Africa",National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Ernst and Ethel Eriksen Trust; Fairfield bursary; University of Kwazulu-Natal; Nelson Mandela University,1,2022,http://dx.doi.org/10.7717/peerj.13416
"Waller, LJ","Factors that influence Cape fur seal predation on Cape gannets at Lambert's Bay, South Africa",National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Ernst and Ethel Eriksen Trust; Fairfield bursary; University of Kwazulu-Natal; Nelson Mandela University,1,2022,http://dx.doi.org/10.7717/peerj.13416
"Brown, M","Factors that influence Cape fur seal predation on Cape gannets at Lambert's Bay, South Africa",National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Ernst and Ethel Eriksen Trust; Fairfield bursary; University of Kwazulu-Natal; Nelson Mandela University,1,2022,http://dx.doi.org/10.7717/peerj.13416
"Fritz, H","Factors that influence Cape fur seal predation on Cape gannets at Lambert's Bay, South Africa",National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Ernst and Ethel Eriksen Trust; Fairfield bursary; University of Kwazulu-Natal; Nelson Mandela University,1,2022,http://dx.doi.org/10.7717/peerj.13416
"Shaw, K","Factors that influence Cape fur seal predation on Cape gannets at Lambert's Bay, South Africa",National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Ernst and Ethel Eriksen Trust; Fairfield bursary; University of Kwazulu-Natal; Nelson Mandela University,1,2022,http://dx.doi.org/10.7717/peerj.13416
"Venter, JA","Factors that influence Cape fur seal predation on Cape gannets at Lambert's Bay, South Africa",National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Ernst and Ethel Eriksen Trust; Fairfield bursary; University of Kwazulu-Natal; Nelson Mandela University,1,2022,http://dx.doi.org/10.7717/peerj.13416
"Engelbrecht, AP",The influence of fitness landscape characteristics on particle swarm optimisers,,2,2022,http://dx.doi.org/10.1007/s11047-020-09835-x
"Bosman, P",The influence of fitness landscape characteristics on particle swarm optimisers,,2,2022,http://dx.doi.org/10.1007/s11047-020-09835-x
"Malan, KM",The influence of fitness landscape characteristics on particle swarm optimisers,,2,2022,http://dx.doi.org/10.1007/s11047-020-09835-x
"Lombard, CD",Stochastic triangular mesh mapping: A terrain mapping technique for autonomous mobile robots,"National Research Foundation (NRF), South Africa(National Research Foundation - South Africa); Armscor, South Africa",3,2020,http://dx.doi.org/10.1016/j.robot.2020.103449
"van Daalen, CE",Stochastic triangular mesh mapping: A terrain mapping technique for autonomous mobile robots,"National Research Foundation (NRF), South Africa(National Research Foundation - South Africa); Armscor, South Africa",3,2020,http://dx.doi.org/10.1016/j.robot.2020.103449
"Kalunga, EK",Online SSVEP-based BCI using Riemannian geometry,,50,2016,http://dx.doi.org/10.1016/j.neucom.2016.01.007
"Chevallier, S",Online SSVEP-based BCI using Riemannian geometry,,50,2016,http://dx.doi.org/10.1016/j.neucom.2016.01.007
"Barthelemy, Q",Online SSVEP-based BCI using Riemannian geometry,,50,2016,http://dx.doi.org/10.1016/j.neucom.2016.01.007
"Djouani, K",Online SSVEP-based BCI using Riemannian geometry,,50,2016,http://dx.doi.org/10.1016/j.neucom.2016.01.007
"Monacelli, E",Online SSVEP-based BCI using Riemannian geometry,,50,2016,http://dx.doi.org/10.1016/j.neucom.2016.01.007
"Hamam, Y",Online SSVEP-based BCI using Riemannian geometry,,50,2016,http://dx.doi.org/10.1016/j.neucom.2016.01.007
"Scheepers, C",Multi-guide particle swarm optimization for multi-objective optimization: empirical and stability analysis,,9,2019,http://dx.doi.org/10.1007/s11721-019-00171-0
"Engelbrecht, AP",Multi-guide particle swarm optimization for multi-objective optimization: empirical and stability analysis,,9,2019,http://dx.doi.org/10.1007/s11721-019-00171-0
"Cleghorn, CW",Multi-guide particle swarm optimization for multi-objective optimization: empirical and stability analysis,,9,2019,http://dx.doi.org/10.1007/s11721-019-00171-0
"Kanyarusoke, K",Validation of TRNSYS modelling for a fixed slope photovoltaic panel,CPUT University Research Fund,15,2016,http://dx.doi.org/10.3906/elk-1502-38
"Gryzagoridis, J",Validation of TRNSYS modelling for a fixed slope photovoltaic panel,CPUT University Research Fund,15,2016,http://dx.doi.org/10.3906/elk-1502-38
"Oliver, G",Validation of TRNSYS modelling for a fixed slope photovoltaic panel,CPUT University Research Fund,15,2016,http://dx.doi.org/10.3906/elk-1502-38
"Dognin, P",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Melnyk, I",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Mroueh, Y",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Padhi, I",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Rigotti, M",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Ross, J",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Schiff, Y",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Young, RA",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Belgodere, B",Image Captioning as an Assistive Technology: Lessons Learned from VizWiz 2020 Challenge,,0,2022,
"Oluyide, OM",Automatic lung segmentation based on Graph Cut using a distance-constrained energy,,6,2018,http://dx.doi.org/10.1049/iet-cvi.2017.0226
"Tapamo, JR",Automatic lung segmentation based on Graph Cut using a distance-constrained energy,,6,2018,http://dx.doi.org/10.1049/iet-cvi.2017.0226
"Viriri, S",Automatic lung segmentation based on Graph Cut using a distance-constrained energy,,6,2018,http://dx.doi.org/10.1049/iet-cvi.2017.0226
"Rens, G",A hybrid POMDP-BDI agent architecture with online stochastic planning and plan caching,,7,2017,http://dx.doi.org/10.1016/j.cogsys.2016.12.002
"Moodley, D",A hybrid POMDP-BDI agent architecture with online stochastic planning and plan caching,,7,2017,http://dx.doi.org/10.1016/j.cogsys.2016.12.002
"Anguelov, R",LULU Operators and Discrete Pulse Transform for Multidimensional Arrays,,10,2010,http://dx.doi.org/10.1109/TIP.2010.2050639
"Fabris-Rotelli, I",LULU Operators and Discrete Pulse Transform for Multidimensional Arrays,,10,2010,http://dx.doi.org/10.1109/TIP.2010.2050639
"Cleghorn, CW",A generalized theoretical deterministic particle swarm model,,64,2014,http://dx.doi.org/10.1007/s11721-013-0090-y
"Engelbrecht, AP",A generalized theoretical deterministic particle swarm model,,64,2014,http://dx.doi.org/10.1007/s11721-013-0090-y
"Doorsamy, W",Conceptual Design of an Online Estimation System for Stigmergic Collaboration and Nodal Intelligence on Distributed DC Systems,,0,2017,http://dx.doi.org/10.4316/AECE.2017.02007
"Cronje, W",Conceptual Design of an Online Estimation System for Stigmergic Collaboration and Nodal Intelligence on Distributed DC Systems,,0,2017,http://dx.doi.org/10.4316/AECE.2017.02007
"Twala, B",REASONING WITH NOISY SOFTWARE EFFORT DATA,Department of Electrical and Electronic Engineering Science at the University of Johannesburg in South Africa,5,2014,http://dx.doi.org/10.1080/08839514.2014.923165
"BRINK, AD",THRESHOLDING OF DIGITAL IMAGES USING 2-DIMENSIONAL ENTROPIES,,270,1992,http://dx.doi.org/10.1016/0031-3203(92)90034-G
"Omlin, CW",Inductive bias strength in knowledge-based neural networks: application to magnetic resonance spectroscopy of breast tissues,,3,2003,http://dx.doi.org/10.1016/S0933-3657(03)00062-9
"Snyders, S",Inductive bias strength in knowledge-based neural networks: application to magnetic resonance spectroscopy of breast tissues,,3,2003,http://dx.doi.org/10.1016/S0933-3657(03)00062-9
"Kuznetsov, SO",Counting pseudo-intents and #P-completeness,,19,2006,
"Obiedkov, S",Counting pseudo-intents and #P-completeness,,19,2006,
"Bassey, I",Enhancing Software Maintenance via Early Prediction of Fault-Prone Object-Oriented Classes,,2,2017,http://dx.doi.org/10.1142/S021819401750019X
"Tchangou Toudjeu, I",Circular Derivative Local Binary Pattern Feature Description for Facial Expression Recognition,,1,2019,http://dx.doi.org/10.4316/AECE.2019.01007
"Tapamo, JR",Circular Derivative Local Binary Pattern Feature Description for Facial Expression Recognition,,1,2019,http://dx.doi.org/10.4316/AECE.2019.01007
"Mashao, DJ",Combining classifier decisions for robust speaker identification,,49,2006,http://dx.doi.org/10.1016/j.patcog.2005.08.004
"Skosan, M",Combining classifier decisions for robust speaker identification,,49,2006,http://dx.doi.org/10.1016/j.patcog.2005.08.004
"Hofmeyr, DP",Fast Exact Evaluation of Univariate Kernel Sums,,4,2021,http://dx.doi.org/10.1109/TPAMI.2019.2930501
"Coetzer, RC",Development of a robust active infrared-based eye tracker,,4,2014,http://dx.doi.org/10.1049/iet-cvi.2013.0251
"Hancke, GP",Development of a robust active infrared-based eye tracker,,4,2014,http://dx.doi.org/10.1049/iet-cvi.2013.0251
"Kamper, F",Regularized Gaussian Belief Propagation with Nodes of Arbitrary Size,,0,2020,
"Steel, SJ",Regularized Gaussian Belief Propagation with Nodes of Arbitrary Size,,0,2020,
"du Preez, JA",Regularized Gaussian Belief Propagation with Nodes of Arbitrary Size,,0,2020,
"Twala, B",AN EMPIRICAL COMPARISON OF TECHNIQUES FOR HANDLING INCOMPLETE DATA USING DECISION TREES,Engineering and Physical Sciences Research Council(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)),63,2009,http://dx.doi.org/10.1080/08839510902872223
"Muller, N",On the use of SDF-type filters for distortion parameter estimation,,0,2002,http://dx.doi.org/10.1109/TPAMI.2002.1046173
"Herbst, BM",On the use of SDF-type filters for distortion parameter estimation,,0,2002,http://dx.doi.org/10.1109/TPAMI.2002.1046173
"Modieginyane, KM",Flexible network management and application service adaptability in software defined wireless sensor networks,National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Telkom South Africa,10,2019,http://dx.doi.org/10.1007/s12652-018-0766-7
"Malekian, R",Flexible network management and application service adaptability in software defined wireless sensor networks,National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Telkom South Africa,10,2019,http://dx.doi.org/10.1007/s12652-018-0766-7
"Letswamotse, BB",Flexible network management and application service adaptability in software defined wireless sensor networks,National Research Foundation (NRF) of South Africa(National Research Foundation - South Africa); Telkom South Africa,10,2019,http://dx.doi.org/10.1007/s12652-018-0766-7
"van Wyk, BJ",Orthonormal Kernel Kronecker Product Graph Matching,,0,2003,
"van Wyk, MA",Orthonormal Kernel Kronecker Product Graph Matching,,0,2003,
"Folly, KA",Diversity increasing methods in PBIL-application to power system controller design: a comparison,,1,2017,http://dx.doi.org/10.1007/s11047-016-9544-7
"Naude, JJ",Geneneralized variable-kernel similarity metric learning,,0,2004,
"van Wyk, MA",Geneneralized variable-kernel similarity metric learning,,0,2004,
"van Wyk, BJ",Geneneralized variable-kernel similarity metric learning,,0,2004,
"Oosthuizen, OL",AgentAssembly: The agent framework platform,,0,2006,
"Ehlers, EM",AgentAssembly: The agent framework platform,,0,2006,
"Boshoff, WH",Reusable component oriented agents: A new architecture,,0,2006,
"Ehlers, EM",Reusable component oriented agents: A new architecture,,0,2006,
"Ferreira, CS",Towards embedding evolution into a multi-agent environment,,0,2006,
"Ehlers, EM",Towards embedding evolution into a multi-agent environment,,0,2006,
"Frangos, C",Tracking control of a rolling disk,,0,2000,http://dx.doi.org/10.1109/3477.836385
"Yavin, Y",Tracking control of a rolling disk,,0,2000,http://dx.doi.org/10.1109/3477.836385
"Wild, M",Computing the Output Distribution and Selection Probabilities of a Stack Filter from the DNF of Its Positive Boolean Function,,2,2013,http://dx.doi.org/10.1007/s10851-012-0370-y
"Stothert, A",Distributed intelligent control system for a continuous-state plant,,12,1997,http://dx.doi.org/10.1109/3477.584947
"MacLeod, IM",Distributed intelligent control system for a continuous-state plant,,12,1997,http://dx.doi.org/10.1109/3477.584947
"vanTonder, GJ",Shape encoding: A biologically inspired method of transforming boundary images into ensembles of shape-related features,,3,1997,http://dx.doi.org/10.1109/3477.623229
"Kruger, JJ",Shape encoding: A biologically inspired method of transforming boundary images into ensembles of shape-related features,,3,1997,http://dx.doi.org/10.1109/3477.623229
"van der Westhuizen, E",Feature learning for efficient ASR-free keyword spotting in low-resource languages,Google Faculty Award(Google Incorporated),0,2022,http://dx.doi.org/10.1016/j.csl.2021.101275
"Kamper, H",Feature learning for efficient ASR-free keyword spotting in low-resource languages,Google Faculty Award(Google Incorporated),0,2022,http://dx.doi.org/10.1016/j.csl.2021.101275
"Menon, R",Feature learning for efficient ASR-free keyword spotting in low-resource languages,Google Faculty Award(Google Incorporated),0,2022,http://dx.doi.org/10.1016/j.csl.2021.101275
"Quinn, J",Feature learning for efficient ASR-free keyword spotting in low-resource languages,Google Faculty Award(Google Incorporated),0,2022,http://dx.doi.org/10.1016/j.csl.2021.101275
"Niesler, T",Feature learning for efficient ASR-free keyword spotting in low-resource languages,Google Faculty Award(Google Incorporated),0,2022,http://dx.doi.org/10.1016/j.csl.2021.101275
"Tollon, F",On and beyond artifacts in moral relations: accounting for power and violence in Coeckelbergh's social relationism,"Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)(German Research Foundation (DFG)); Projekt DEAL",1,,http://dx.doi.org/10.1007/s00146-021-01303-z
"Naidoo, K",On and beyond artifacts in moral relations: accounting for power and violence in Coeckelbergh's social relationism,"Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)(German Research Foundation (DFG)); Projekt DEAL",1,,http://dx.doi.org/10.1007/s00146-021-01303-z
"Farrell, R",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Lenchner, J",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Kephart, J",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Webb, A",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Muller, M",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Erickson, T",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Melville, D",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Bellamy, R",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Gruen, D",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Connell, J",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Soroker, D",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Aaron, A",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Trewin, S",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Ashoori, M",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Ellis, J",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Gaucher, B",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Gil, D",Symbiotic Cognitive Computing,,12,2016,http://dx.doi.org/10.1609/aimag.v37i3.2628
"Woodford, GW",Bootstrapped Neuro-Simulation for complex robots,"National Research Foundation (NRF), South Africa(National Research Foundation - South Africa)",0,2021,http://dx.doi.org/10.1016/j.robot.2020.103708
"du Plessis, MC",Bootstrapped Neuro-Simulation for complex robots,"National Research Foundation (NRF), South Africa(National Research Foundation - South Africa)",0,2021,http://dx.doi.org/10.1016/j.robot.2020.103708
"Woodford, GW",Concurrent controller and Simulator Neural Network development for a differentially-steered robot in Evolutionary Robotics,National Research Foundation (NRF),13,2016,http://dx.doi.org/10.1016/j.robot.2015.10.011
"Pretorius, CJ",Concurrent controller and Simulator Neural Network development for a differentially-steered robot in Evolutionary Robotics,National Research Foundation (NRF),13,2016,http://dx.doi.org/10.1016/j.robot.2015.10.011
"du Plessis, MC",Concurrent controller and Simulator Neural Network development for a differentially-steered robot in Evolutionary Robotics,National Research Foundation (NRF),13,2016,http://dx.doi.org/10.1016/j.robot.2015.10.011
"Botha, EC",Nonlinear preprocessing for improved filter capacity of an optical correlator,,0,1996,
"Bouma, NG",Nonlinear preprocessing for improved filter capacity of an optical correlator,,0,1996,
"Mathaba, S",On the use of the Internet of Things and Web 2.0 in inventory management,CSIR Meraka unit,16,2017,http://dx.doi.org/10.3233/JIFS-169252
"Adigun, M",On the use of the Internet of Things and Web 2.0 in inventory management,CSIR Meraka unit,16,2017,http://dx.doi.org/10.3233/JIFS-169252
"Oladosu, J",On the use of the Internet of Things and Web 2.0 in inventory management,CSIR Meraka unit,16,2017,http://dx.doi.org/10.3233/JIFS-169252
"Oki, O",On the use of the Internet of Things and Web 2.0 in inventory management,CSIR Meraka unit,16,2017,http://dx.doi.org/10.3233/JIFS-169252
"Cleghorn, CW",Particle swarm variants: standardized convergence analysis,,37,2015,http://dx.doi.org/10.1007/s11721-015-0109-7
"Engelbrecht, AP",Particle swarm variants: standardized convergence analysis,,37,2015,http://dx.doi.org/10.1007/s11721-015-0109-7
"deRu, WG",Enhanced password authentication through fuzzy logic,,63,1997,http://dx.doi.org/10.1109/64.642960
"Eloff, JHP",Enhanced password authentication through fuzzy logic,,63,1997,http://dx.doi.org/10.1109/64.642960
"Dongmo, C",Addressing the Construction of Z and Object-Z with Use Case Maps (UCMs),,1,2014,http://dx.doi.org/10.1142/S0218194014500120
"van der Poll, JA",Addressing the Construction of Z and Object-Z with Use Case Maps (UCMs),,1,2014,http://dx.doi.org/10.1142/S0218194014500120
"Zhong, XS",Denial of Service Attack on Tie-Line Bias Control in a Power System With PV Plant,U.S. National Science Foundation (NSF)(National Science Foundation (NSF)); Duke Energy Distinguished Professor Endowment Fund,29,2017,http://dx.doi.org/10.1109/TETCI.2017.2739838
"Jayawardene, I",Denial of Service Attack on Tie-Line Bias Control in a Power System With PV Plant,U.S. National Science Foundation (NSF)(National Science Foundation (NSF)); Duke Energy Distinguished Professor Endowment Fund,29,2017,http://dx.doi.org/10.1109/TETCI.2017.2739838
